"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Polavaram ,67,ST,https://www.indiavotes.com/district/ac/272/,Tellam Bala Raju,Yuvajana Sramika Rythu Congress Party,245520,207307,84.4 %,42070,20.3%
Ponnur,88,GEN,https://www.indiavotes.com/district/ac/272/,Venkatroshaiah Kilari,Yuvajana Sramika Rythu Congress Party,228216,189662,83.1 %,1112,0.6%
Prathipadu,36,GEN,https://www.indiavotes.com/district/ac/272/,Sri Purnachandra Prasad Parvatha,Yuvajana Sramika Rythu Congress Party,202794,162836,80.3 %,4611,2.8%
Prathipadu (SC),93,SC,https://www.indiavotes.com/district/ac/272/,Mekathoti Sucharitha,Yuvajana Sramika Rythu Congress Party,250573,209503,83.6 %,7398,3.5%
Proddatur,132,GEN,Vizianagaram,Rachamallu Siva Prasad Reddy,Yuvajana Sramika Rythu Congress Party,236808,180770,76.3 %,43148,23.9%
Pulivendla,129,GEN,Srikakulam,Yeduguri Sandinti Jagan Mohan Reddy,Yuvajana Sramika Rythu Congress Party,223754,177967,79.5 %,90110,50.6%
Punganur,165,GEN,East Godavari,Peddireddi Ramachandra Reddy,Yuvajana Sramika Rythu Congress Party,229624,192581,83.9 %,43555,22.6%
Puthalapattu ,173,SC,West Godavari,M. Babu,Yuvajana Sramika Rythu Congress Party,216220,184815,85.5 %,29163,15.8%
Puttaparthi,159,GEN,East Godavari,Duddukunta Sreedhar Reddy,Yuvajana Sramika Rythu Congress Party,200063,169981,85.0 %,31255,18.4%
Rajahmundry City,50,GEN,https://www.indiavotes.com/district/ac/272/,Adireddy Bhavani,Telugu Desam,253121,166235,65.7 %,30065,18.1%
Rajam (SC),9,SC,https://www.indiavotes.com/district/ac/272/,Kambala Jogulu,Yuvajana Sramika Rythu Congress Party,219975,158947,72.3 %,16848,10.6%
Rajampet,125,GEN,Srikakulam,Meda Venkata Mallikarjuna Reddy,Yuvajana Sramika Rythu Congress Party,222386,163398,73.5 %,35272,21.6%
Rajamundry Rural,51,GEN,https://www.indiavotes.com/district/ac/272/,Gorantla Butchaiah Choudary,Telugu Desam,254420,187206,73.6 %,10404,5.6%
Rajanagaram,49,GEN,https://www.indiavotes.com/district/ac/272/,Jakkampudi Raja,Yuvajana Sramika Rythu Congress Party,201252,174585,86.7 %,31772,18.2%
